Product_ID,Product_Name,Form,Ashwagandha,Triphala,Amalaki,Haritaki,Bibhitaki,Neem,Tulsi,Brahmi,Shankhpushpi,Turmeric,Ginger,Garlic,Clove,Cardamom,Cinnamon,Pepper,Licorice,Guduchi,Shatavari,AloeVera,Moringa,Fenugreek,Cumin,Coriander,Mustard,Saffron,Nutmeg,Fennel,Camphor,Jatamansi,Kesar,Pippali,Punarnava,Arjuna,Guggulu,Manjistha,Kalonji,Baheda,Giloy,Daruharidra,Vidanga,Hibiscus,AmlaOil,Ashoka,Bhringraj,SafedMusli,KaunchBeej,Palash,Agarwood,Chitrak,Proportion_Others,Price,Dosage(g),Shelf_Life(months),Preparation_Method,Speciality
P0199,Product_199,Capsule,0.02,0.03,0,0.02,0.02,0.02,0.03,0.02,0.03,0,0.01,0.03,0.01,0,0.01,0.04,0.01,0.02,0.01,0.04,0,0.02,0,0.03,0.02,0.01,0.01,0.04,0.01,0.01,0.02,0.02,0.02,0.02,0.04,0.02,0.02,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0,0.01,0.04,0.02,0.03,0,0.07,384,0.55,36,Fermentation,Kidney Care
P0200,Product_200,Capsule,0.02,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.03,0.03,0.03,0.01,0.03,0,0.01,0.03,0,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.02,0.03,0,0.01,0.01,0.03,0,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0,0.02,0.01,0.03,0,0.01,0.02,0.03,0.03,0.02,0.02,0.1,698,0.45,12,Decoction,Respiratory Health
P0201,Product_201,Powder,0.02,0.04,0.03,0.02,0.03,0.01,0.02,0.01,0.03,0.01,0.03,0.01,0.01,0.02,0.03,0,0.01,0.03,0.01,0.02,0.01,0.02,0.03,0.02,0.03,0.03,0.02,0.03,0.01,0,0.01,0.03,0.04,0.03,0.01,0,0.02,0.01,0,0,0,0,0.03,0.01,0.03,0,0.01,0.02,0,0.03,0.13,979,0.32,36,PowderBlend,Digestive Cleanser
P0202,Product_202,Powder,0.03,0.01,0.02,0.01,0,0.03,0.01,0.02,0.01,0.01,0,0.03,0.03,0.02,0,0.01,0,0.03,0.03,0.02,0.03,0.04,0.03,0.01,0.02,0.02,0,0.02,0.01,0.01,0.02,0.01,0.03,0.02,0.03,0.02,0.04,0.02,0.02,0.02,0.01,0.03,0.02,0.02,0.04,0,0,0.01,0.01,0.03,0.09,141,0.59,24,Decoction,Immunity Booster
P0203,Product_203,Paste,0.01,0.03,0.01,0.03,0.02,0.01,0.02,0.01,0.02,0,0.02,0.03,0,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0,0,0.02,0.01,0.04,0.02,0.04,0.02,0,0,0.01,0.04,0.01,0,0.04,0.03,0.01,0.02,0.03,0.01,0.03,0.03,0,0,0,0.03,0.01,0.12,695,0.36,18,PowderBlend,Diabetes Management
P0204,Product_204,Syrup,0,0.03,0.02,0.02,0.02,0.03,0.02,0.03,0.01,0,0.04,0.03,0.02,0.02,0.02,0.01,0.03,0.01,0.01,0,0.04,0,0.02,0.02,0.01,0.01,0.01,0.01,0,0.01,0.01,0.04,0.03,0.02,0.01,0.03,0.01,0.01,0,0,0.02,0.04,0.02,0,0.02,0.02,0.02,0.01,0.02,0.03,0.14,545,0.46,12,TabletCompression,Respiratory Health
P0205,Product_205,Decoction,0.02,0.02,0.01,0.03,0.03,0.03,0.01,0.02,0.02,0,0.02,0.01,0.01,0.01,0.02,0,0.01,0,0.01,0.03,0.02,0,0.02,0.03,0.02,0.01,0,0.02,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.01,0.03,0,0.02,0.01,0.01,0,0.03,0.03,0.02,0.03,0.02,0.01,0.13,881,0.21,18,TabletCompression,Respiratory Health
P0206,Product_206,Powder,0.02,0.02,0.01,0.02,0.03,0,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.01,0.03,0.02,0.02,0.01,0,0.02,0.02,0.02,0.03,0,0.01,0.02,0.01,0.02,0.02,0.01,0,0.03,0.02,0.01,0.03,0.01,0.02,0.02,0,0.01,0.02,0.01,0.12,183,0.41,24,Decoction,Respiratory Health
P0207,Product_207,Decoction,0.02,0.01,0.01,0.03,0.03,0.01,0.03,0.02,0.03,0,0.01,0,0.01,0.01,0.01,0.03,0.04,0.01,0.01,0.02,0,0.01,0.02,0,0.01,0.01,0.03,0.01,0.02,0,0.01,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.04,0.03,0.02,0.03,0.01,0,0.02,0.01,0.03,0.02,0.01,0.02,0.15,827,0.49,12,TabletCompression,Immunity Booster
P0208,Product_208,Tablet,0.02,0.03,0.01,0.01,0.03,0,0.01,0.02,0.03,0.03,0.02,0.02,0.03,0.01,0,0.02,0.03,0.02,0,0.03,0.02,0.02,0.01,0.02,0.03,0.02,0.02,0.03,0.03,0.01,0.01,0.02,0.03,0.01,0,0.01,0,0.01,0.02,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.09,406,0.56,36,PowderBlend,Hair & Scalp Care
P0209,Product_209,Decoction,0.02,0.03,0.01,0.01,0.01,0,0.03,0.01,0.01,0.03,0,0.01,0.01,0.03,0.02,0.01,0.02,0,0.02,0.02,0.01,0.03,0.03,0.02,0.02,0.03,0,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.01,0.01,0.01,0.04,0.03,0.01,0.02,0.02,0.03,0.02,0.09,358,0.52,24,Extract,Weight Loss
P0210,Product_210,Tablet,0.03,0.03,0.01,0.01,0.03,0.03,0.01,0.02,0.03,0.02,0.01,0.01,0.01,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.01,0.02,0.02,0.02,0,0.01,0.03,0.02,0.02,0.01,0.02,0,0,0.01,0.01,0.03,0.03,0.03,0.02,0.02,0,0.01,0.02,0.02,0.03,0.01,0.02,0.01,0,0.03,0.09,102,0.54,18,Extract,Anti-Inflammatory
P0211,Product_211,Capsule,0.02,0.03,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0,0.02,0.01,0.03,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0,0.02,0.01,0.03,0.03,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.01,0,0.01,0,0.01,0.02,0.02,0.03,0.03,0.03,0.02,0.09,135,0.41,24,TabletCompression,Joint Pain Relief
P0212,Product_212,Decoction,0,0.01,0.01,0.01,0.02,0.03,0.01,0,0.01,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.01,0.02,0,0,0.03,0.02,0,0.03,0.01,0.01,0.03,0.01,0.02,0.01,0.01,0.03,0.02,0.01,0,0.03,0.01,0.01,0.03,0.03,0.01,0.03,0.01,0.03,0.01,0.01,0.14,639,0.35,24,PowderBlend,Hair & Scalp Care
P0213,Product_213,Paste,0.03,0.02,0,0.01,0.02,0.03,0.02,0.02,0.01,0.04,0.02,0.02,0.02,0.02,0.01,0.02,0.01,0.02,0.01,0.02,0.03,0,0.03,0.02,0.02,0.01,0.03,0.01,0.01,0.03,0.03,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0,0.02,0.01,0.03,0.03,0.01,0.02,0.03,0.01,0,0.01,0.02,0.12,858,0.54,18,Fermentation,Immunity Booster
P0214,Product_214,Paste,0.02,0.02,0.01,0.02,0.01,0.01,0,0,0,0.01,0.02,0.01,0.02,0.03,0,0.02,0.03,0.01,0.02,0.03,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.02,0,0.03,0.02,0,0.03,0.01,0.01,0.03,0.03,0.01,0.01,0.02,0.01,0.02,0.03,0.02,0.03,0.02,0.01,0.02,0.03,0.03,0.12,403,0.47,18,PowderBlend,Hair & Scalp Care
P0215,Product_215,Tablet,0.02,0.02,0.03,0.03,0,0.03,0.01,0.03,0.02,0.02,0.01,0.01,0,0.01,0,0.03,0.02,0.01,0.01,0.03,0.01,0.03,0,0.01,0,0.03,0.01,0.01,0.03,0.01,0,0.03,0.02,0.01,0.01,0.01,0.02,0.03,0.01,0.03,0.03,0.01,0.03,0,0.03,0.01,0.03,0.02,0.02,0.02,0.15,1000,0.51,12,Fermentation,Women's Health
P0216,Product_216,Syrup,0,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0,0.03,0.03,0.01,0.01,0.03,0,0.01,0.04,0.02,0.02,0.03,0.02,0,0,0.03,0,0.03,0.01,0.03,0.02,0,0.02,0.03,0.02,0.02,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.03,0,0.01,0.01,0.02,0.02,0,0.01,0.01,0.13,280,0.56,12,PowderBlend,Cardiac Health
P0217,Product_217,Paste,0.01,0.02,0.02,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.03,0.01,0.02,0.01,0.02,0.02,0.02,0,0.01,0.02,0.01,0.02,0.03,0.04,0.01,0.02,0,0.02,0,0,0.01,0.03,0.04,0.03,0.02,0,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.03,0.03,0.01,0.01,0.03,0.01,0.1,183,0.42,24,TabletCompression,Diabetes Management
P0218,Product_218,Powder,0.01,0.01,0.02,0.01,0,0.02,0.02,0.02,0.02,0.03,0.01,0,0.03,0.02,0.03,0.02,0.03,0.01,0.03,0.02,0.03,0.01,0.02,0.02,0,0,0.03,0.03,0.02,0.01,0.01,0.03,0.02,0.03,0.02,0.01,0.03,0.02,0.03,0.04,0.02,0.02,0,0.01,0.01,0.01,0.01,0.01,0,0.03,0.11,884,0.24,24,TabletCompression,Diabetes Management
P0219,Product_219,Powder,0.03,0,0.03,0.01,0.02,0.02,0.03,0.03,0,0.01,0.02,0.01,0.03,0.01,0.03,0.02,0.02,0.03,0,0.01,0,0.03,0.03,0.01,0.04,0,0.03,0,0.01,0.02,0.03,0.01,0.01,0.03,0.02,0.01,0.02,0.02,0,0.02,0.01,0.02,0.01,0.02,0,0.02,0.03,0.01,0.03,0.02,0.13,528,0.5,18,Fermentation,Skin Disorders
P0220,Product_220,Paste,0.03,0,0.03,0.02,0.01,0.03,0.01,0.03,0.01,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.03,0,0,0.02,0.01,0.04,0,0.03,0.01,0.04,0.01,0.03,0.03,0.03,0,0.01,0.03,0.01,0,0.03,0.01,0,0.03,0.03,0.02,0,0.02,0,0.03,0.01,0.02,0.01,0.02,0.03,0.14,116,0.52,36,PowderBlend,Memory & Cognition
P0221,Product_221,Powder,0.03,0.01,0.03,0.02,0.02,0,0.03,0.02,0.01,0.03,0.03,0,0.02,0.01,0.02,0.01,0,0.01,0.03,0,0.01,0.01,0.03,0.02,0.03,0.02,0,0.01,0.03,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0,0.02,0,0.03,0.03,0,0.01,0.03,0.01,0.02,0.03,0.03,0.02,0.01,0.1,452,0.4,12,Fermentation,Digestive Cleanser
P0222,Product_222,Paste,0.03,0,0,0.01,0.03,0.03,0.02,0.02,0.01,0,0.02,0.04,0.01,0,0.02,0.02,0.03,0.02,0.04,0.03,0.04,0.04,0.02,0.02,0.01,0.03,0.04,0,0.03,0.03,0.02,0,0.01,0.01,0,0.02,0.01,0.01,0.03,0.01,0.02,0.03,0,0.01,0.01,0.01,0.02,0.01,0,0.01,0.12,686,0.23,36,Fermentation,Hair & Scalp Care
P0223,Product_223,Paste,0.02,0.02,0,0.03,0.03,0.02,0.04,0,0.03,0,0,0.03,0.02,0.01,0.03,0.02,0.03,0.01,0.02,0,0,0,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0.03,0.01,0.02,0.03,0.03,0.04,0,0.03,0.02,0,0.02,0.04,0,0.02,0.01,0.02,0.02,0,0.11,293,0.46,36,PowderBlend,Weight Loss
P0224,Product_224,Syrup,0,0.03,0.02,0.01,0.03,0.02,0.03,0.02,0,0.01,0.01,0.03,0.01,0.03,0.01,0.02,0.03,0.02,0.01,0,0.02,0,0.01,0.01,0.01,0.03,0.03,0.01,0.01,0.03,0.03,0.01,0,0.02,0.02,0.02,0.03,0.01,0.02,0.03,0,0.03,0.02,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.12,709,0.47,36,TabletCompression,Weight Loss
P0225,Product_225,Syrup,0.01,0,0.03,0.02,0.02,0.01,0,0.02,0,0.01,0.03,0.01,0.03,0.02,0,0.01,0.03,0.03,0,0.03,0.02,0.03,0.02,0.01,0.02,0.01,0.02,0.03,0.02,0.02,0.03,0.01,0.02,0.03,0.02,0.03,0,0,0.03,0.02,0.02,0,0.03,0.02,0.03,0.01,0.01,0.03,0.01,0.01,0.13,809,0.26,24,Fermentation,Diabetes Management
P0226,Product_226,Syrup,0.01,0.03,0.03,0.03,0,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.03,0,0.02,0.03,0,0.03,0.01,0,0.03,0.01,0,0.01,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0.01,0.01,0.03,0.03,0.02,0,0.03,0.03,0.01,0.03,0.03,0.11,734,0.28,12,Decoction,Anti-Inflammatory
P0227,Product_227,Powder,0.03,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0,0.03,0.01,0.01,0.02,0.02,0.03,0.03,0.02,0.01,0,0.03,0.02,0.02,0.01,0.01,0.03,0.02,0,0.01,0.02,0.02,0.03,0.03,0.02,0,0.03,0.02,0.02,0.01,0.02,0.02,0,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0,0.01,0.11,905,0.31,24,Fermentation,Women's Health
P0228,Product_228,Capsule,0.04,0.01,0.03,0,0.02,0.03,0,0,0.01,0.01,0.03,0.03,0,0.01,0.03,0.02,0.04,0,0.02,0.02,0,0.01,0.03,0.01,0,0.01,0,0.03,0.02,0.02,0.03,0.01,0.03,0.01,0.03,0.02,0.03,0.02,0,0,0.04,0.03,0.01,0.03,0.03,0.03,0,0,0.02,0.03,0.12,391,0.29,24,PowderBlend,Cardiac Health
P0229,Product_229,Capsule,0.03,0.03,0,0.02,0,0.02,0.01,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.01,0.03,0.01,0.02,0.03,0.03,0.02,0.01,0.02,0.03,0.01,0.01,0,0.01,0.01,0.03,0,0.02,0.03,0.02,0.01,0.03,0.02,0.01,0.02,0,0,0,0.01,0.03,0.01,0.03,0.09,756,0.53,24,TabletCompression,Skin Disorders
P0230,Product_230,Capsule,0.01,0.02,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.03,0.03,0.03,0,0.03,0.01,0.01,0.01,0.03,0,0.01,0.01,0.02,0.03,0.03,0.01,0.02,0.03,0,0.02,0.02,0.01,0.02,0,0.01,0.01,0.02,0,0.03,0,0.03,0.03,0.03,0.01,0,0.03,0.02,0.01,0.03,0.01,0.02,0.11,321,0.21,18,PowderBlend,Skin Disorders
P0231,Product_231,Powder,0.03,0.02,0.04,0.03,0.03,0.01,0.01,0.01,0.04,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0.02,0.02,0.01,0.04,0,0,0.01,0.01,0.01,0.03,0.01,0.03,0.03,0.03,0.01,0.01,0.02,0.02,0,0.04,0.03,0.02,0,0.01,0.01,0.01,0,0.03,0.02,0.03,0.12,919,0.42,36,Extract,Joint Pain Relief
P0232,Product_232,Capsule,0.01,0.01,0.01,0.02,0.04,0.04,0.01,0.01,0,0.03,0.03,0,0,0.01,0,0.01,0.03,0,0.01,0.02,0.04,0.01,0.04,0.01,0.01,0,0.03,0.03,0.02,0.03,0.02,0.04,0.01,0.03,0,0.04,0.03,0.01,0.01,0.02,0.02,0.01,0.03,0.03,0.01,0.02,0.03,0,0.01,0.02,0.1,497,0.49,12,TabletCompression,Immunity Booster
P0233,Product_233,Syrup,0.03,0.03,0.01,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0,0.02,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0,0.01,0.01,0.02,0.02,0.03,0.03,0,0.03,0.01,0.03,0,0.01,0.02,0.03,0.01,0.03,0.02,0.02,0.02,0.03,0,0.01,0.02,0.03,0.03,0.03,0,0.01,0,0.03,0.13,940,0.32,24,Decoction,Stress & Anxiety
P0234,Product_234,Capsule,0.01,0,0.02,0.03,0.02,0.03,0,0.03,0.03,0,0.03,0.03,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.03,0.03,0.02,0.02,0.02,0.02,0.03,0,0.01,0.03,0.01,0.03,0.03,0.02,0.01,0.01,0.01,0,0.01,0.02,0.03,0.03,0,0.01,0.01,0,0.01,0,0.03,0.02,0.01,0.14,626,0.26,24,TabletCompression,Joint Pain Relief
P0235,Product_235,Capsule,0.04,0.04,0,0.03,0.01,0,0.04,0.03,0.02,0.02,0,0.02,0.01,0.02,0.02,0.02,0.01,0,0.03,0,0.01,0.03,0.04,0.02,0,0.01,0.01,0,0.03,0.02,0,0.01,0.01,0.01,0,0.01,0.03,0,0.01,0.02,0.02,0.03,0.01,0.03,0.03,0.01,0.03,0.04,0.02,0.03,0.12,451,0.53,36,TabletCompression,Skin Disorders
P0236,Product_236,Syrup,0.01,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.02,0,0.02,0,0.01,0.03,0.02,0,0.02,0.01,0,0.01,0.01,0.01,0.03,0.01,0.03,0,0.03,0.03,0.01,0.03,0.03,0.02,0.03,0.01,0.03,0.02,0.02,0.03,0.03,0.01,0,0.02,0.01,0.02,0.01,0.01,0.03,0.03,0.01,0.02,0.16,925,0.41,36,Fermentation,Hair & Scalp Care
P0237,Product_237,Tablet,0.01,0.02,0,0.03,0,0.01,0,0.02,0.01,0.01,0.01,0.01,0.02,0.03,0.02,0.03,0.03,0.03,0.03,0.02,0.01,0.03,0.01,0.02,0.03,0.02,0.02,0.02,0.03,0.02,0.01,0.03,0.01,0.01,0,0.02,0.02,0.02,0.02,0.02,0,0,0,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.14,624,0.54,12,Decoction,Women's Health
P0238,Product_238,Decoction,0.03,0.03,0.03,0.03,0.04,0.02,0,0,0.02,0,0.03,0.02,0.03,0,0.03,0.01,0.02,0,0,0.04,0.02,0,0,0.02,0.03,0.02,0,0.03,0.02,0.02,0,0.01,0.02,0.03,0.02,0.03,0.01,0.02,0.03,0.02,0,0.01,0.02,0.03,0.01,0.01,0.01,0.03,0.01,0.04,0.1,716,0.22,18,TabletCompression,Hair & Scalp Care
P0239,Product_239,Powder,0.03,0.03,0.02,0,0.03,0,0.01,0.01,0.02,0.03,0.02,0.01,0.02,0,0.02,0.03,0.03,0.02,0,0.02,0.02,0.01,0.01,0.03,0,0.01,0.02,0.02,0.02,0,0.02,0.03,0.03,0.02,0.03,0.03,0.03,0.01,0.03,0,0.02,0,0,0.03,0.02,0,0.03,0,0.03,0.02,0.13,643,0.34,36,Extract,Skin Disorders
P0240,Product_240,Paste,0.01,0.03,0.03,0.02,0.01,0.03,0.01,0,0.01,0.02,0.01,0.03,0.01,0.03,0.02,0.02,0,0.01,0.02,0.01,0.02,0.03,0,0.02,0.01,0.01,0.01,0.03,0.01,0.03,0.03,0.02,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.01,0.02,0.03,0.03,0,0.02,0.02,0,0,0,0.02,0.13,225,0.31,18,PowderBlend,Respiratory Health
P0241,Product_241,Powder,0.02,0.03,0.01,0.03,0.02,0.02,0.01,0.03,0.01,0.02,0.03,0.03,0.02,0.01,0.01,0,0.02,0.01,0,0.01,0.03,0.01,0.03,0.03,0,0.03,0,0.03,0.03,0.03,0.03,0,0.01,0.03,0.02,0.01,0.02,0.02,0,0.03,0.02,0.01,0.02,0.02,0.02,0.02,0.02,0,0.03,0.01,0.1,783,0.38,24,Decoction,Skin Disorders
P0242,Product_242,Syrup,0.01,0.04,0.01,0.02,0.01,0.01,0.02,0.01,0,0,0.03,0.02,0.03,0.04,0.01,0.02,0.04,0.03,0.01,0.02,0,0.01,0.03,0.03,0.02,0.03,0.02,0.01,0.01,0.02,0,0.01,0.03,0.02,0,0,0.03,0.03,0.03,0,0.01,0.02,0.04,0.01,0.03,0.03,0.01,0.03,0.03,0.01,0.07,427,0.44,18,PowderBlend,Women's Health
P0243,Product_243,Capsule,0.01,0.03,0.03,0.02,0.02,0.01,0,0.03,0.02,0.03,0.01,0,0.02,0.01,0.02,0.01,0.01,0,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.02,0.03,0.01,0.03,0,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.03,0.02,0,0.03,0.03,0.01,0.02,0.01,0.02,0.02,0.03,0,0.01,0.09,563,0.38,36,PowderBlend,Memory & Cognition
P0244,Product_244,Capsule,0.03,0.02,0.01,0.01,0.02,0.02,0.03,0.02,0.01,0.03,0.03,0.02,0.02,0.01,0,0,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.03,0.01,0.01,0.03,0,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.01,0.01,0.02,0.03,0.02,0.01,0.01,0.02,0.02,0.03,0.03,0.01,0.1,810,0.39,18,TabletCompression,Skin Disorders
P0245,Product_245,Tablet,0,0.03,0.01,0.02,0.04,0.01,0.02,0.02,0,0,0.02,0.01,0.03,0.03,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.03,0.03,0.03,0.03,0.01,0.03,0,0.02,0.01,0.01,0.01,0.01,0.03,0,0.02,0.02,0.01,0.01,0.03,0.03,0.02,0.01,0.04,0.03,0.01,0.03,0.01,0.1,567,0.31,36,Fermentation,Liver Detox
P0246,Product_246,Paste,0,0.01,0.02,0.01,0.01,0.02,0.01,0.03,0.03,0.01,0.01,0,0.03,0.01,0.03,0.03,0.03,0.03,0.02,0.01,0.03,0.01,0.02,0.01,0.01,0,0.01,0.01,0.01,0.02,0.02,0.03,0.02,0.03,0.03,0.01,0.02,0.01,0,0.02,0.03,0.02,0.02,0.02,0.02,0.03,0.01,0.03,0.03,0.03,0.09,780,0.24,18,TabletCompression,Weight Loss
P0247,Product_247,Paste,0.02,0,0.03,0.02,0.02,0.01,0.03,0.01,0.01,0.02,0.01,0.02,0.01,0.03,0.01,0.01,0.03,0.01,0.02,0.02,0.03,0.01,0.02,0.01,0.04,0,0.04,0.02,0.01,0.03,0.01,0.02,0.03,0.01,0.03,0,0.02,0.01,0.02,0.02,0.02,0.03,0.03,0.01,0.02,0.02,0.01,0,0.03,0.03,0.08,283,0.41,12,Fermentation,Digestive Cleanser
P0248,Product_248,Syrup,0,0.03,0.01,0.03,0.02,0.01,0.02,0.01,0.01,0,0.02,0.03,0.02,0.03,0.02,0.03,0.02,0.02,0,0.01,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.01,0.03,0,0.02,0.02,0.02,0.02,0.03,0.01,0.02,0.03,0.01,0.03,0.03,0.02,0.01,0.03,0.01,0.02,0.02,0.01,0.03,0.02,0.09,167,0.4,18,Fermentation,Stress & Anxiety
P0249,Product_249,Paste,0.02,0.02,0.02,0.02,0.03,0,0.02,0.01,0.02,0.01,0.02,0.03,0.01,0.01,0,0.03,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.03,0.03,0.03,0.02,0.03,0.03,0.02,0.04,0,0.01,0.03,0.03,0.02,0.02,0.01,0.03,0.02,0.01,0.01,0.01,0,0.03,0.02,0.01,0,0.02,0.01,0.11,103,0.39,12,PowderBlend,Kidney Care
P0250,Product_250,Capsule,0.02,0.03,0.02,0.02,0.01,0.01,0.02,0.02,0.02,0.02,0.03,0.03,0,0.02,0.01,0.02,0.03,0.02,0.03,0,0.01,0.01,0.03,0.02,0.02,0.01,0.01,0.01,0.03,0.03,0.03,0.01,0.02,0.03,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.03,0.01,0,0.01,0.02,0.01,0.03,0.01,0.01,0.11,955,0.36,18,Decoction,Joint Pain Relief
P0251,Product_251,Syrup,0.03,0.02,0.03,0.01,0.02,0.02,0.02,0,0,0,0.03,0.01,0.01,0.02,0.01,0.02,0.03,0.01,0.01,0.01,0.03,0,0.01,0.02,0.02,0.01,0.02,0.01,0.01,0.01,0,0.03,0.02,0.01,0.04,0.02,0,0.02,0.01,0.04,0.01,0.04,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0,0.14,249,0.47,24,Decoction,Stress & Anxiety
P0252,Product_252,Paste,0.02,0.02,0.01,0.03,0,0.02,0.01,0,0.01,0.01,0.01,0.02,0.03,0.01,0,0,0.03,0.03,0.02,0.01,0.01,0.02,0.03,0.02,0.02,0.01,0.03,0.01,0.01,0.02,0.02,0.01,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.01,0.03,0.02,0.02,0.01,0.01,0.03,0.03,0.01,0.1,567,0.51,18,Extract,Joint Pain Relief
P0253,Product_253,Syrup,0.03,0,0.01,0.03,0.01,0.03,0.02,0.01,0.02,0.03,0.03,0.03,0,0.02,0.01,0.01,0.03,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.01,0.03,0.03,0.01,0.03,0.03,0.02,0.03,0.03,0.02,0.02,0.02,0.01,0.01,0.02,0.01,0.03,0.01,0.02,0,0.01,0.03,0.01,0.03,0.01,0.01,0.06,477,0.31,18,PowderBlend,Respiratory Health
P0254,Product_254,Syrup,0.01,0.02,0.01,0,0,0.03,0.02,0.03,0.02,0,0.01,0.02,0,0.03,0.03,0.03,0.02,0.03,0.02,0.03,0.01,0.02,0.01,0.02,0.01,0.01,0.02,0.03,0.03,0,0.01,0.02,0.01,0.02,0.03,0.03,0.01,0,0,0.03,0.02,0.01,0.03,0.03,0.01,0.02,0.03,0.02,0.03,0.01,0.11,628,0.56,12,Decoction,Weight Loss
P0255,Product_255,Syrup,0.04,0.04,0.02,0.01,0.01,0.03,0.01,0.04,0.01,0.04,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.01,0.01,0,0.02,0.03,0.02,0.03,0,0,0.02,0.02,0.01,0.01,0.01,0,0,0.01,0.01,0,0.01,0.01,0.03,0.02,0.01,0.04,0.01,0,0.02,0.04,0.03,0.02,0.03,0.01,0.1,371,0.49,24,Fermentation,Joint Pain Relief
P0256,Product_256,Tablet,0.01,0.02,0.02,0.02,0.04,0,0.02,0.02,0.02,0.01,0,0.02,0.03,0.04,0.03,0.03,0.02,0,0.01,0,0.02,0.02,0.03,0.02,0,0.01,0.01,0,0.03,0.02,0.04,0.04,0.04,0.01,0,0.01,0.04,0.01,0.01,0.02,0.02,0.03,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.12,531,0.5,12,Extract,Diabetes Management
P0257,Product_257,Powder,0.02,0.01,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.02,0.01,0.03,0.03,0,0.01,0.01,0,0.03,0.03,0.01,0.02,0.01,0.03,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.03,0.02,0.03,0.01,0.03,0.02,0.02,0.01,0.02,0.03,0,0.1,984,0.34,36,PowderBlend,Diabetes Management
P0258,Product_258,Capsule,0.02,0,0.03,0.01,0.03,0.02,0.03,0.02,0.01,0.02,0.02,0.03,0.01,0.02,0.02,0.01,0.02,0.01,0.02,0.03,0.03,0.01,0.01,0,0.02,0.01,0.02,0.01,0.02,0.04,0.04,0.01,0.01,0.02,0.03,0.01,0.01,0.03,0,0.02,0.03,0.03,0.02,0.01,0.03,0.01,0.02,0,0,0.01,0.11,678,0.47,18,PowderBlend,Immunity Booster
